id;winner_ace;winner_df;winner_serve_points;winner_1st_in;winner_1st_won;winner_2nd_won;loser_df;loser_serve_points;loser_1st_in;loser_1st_won;loser_2nd_won;match_id;loser_ace
1;6;2;96;55;39;25;3;95;62;44;23;76724;8
2;19;4;101;56;45;25;2;84;41;35;27;76725;8
3;6;1;54;31;24;13;2;60;37;22;6;76726;2
4;2;0;60;40;30;14;3;74;45;30;11;76727;3
5;4;2;72;40;33;14;2;77;41;28;15;76728;2
6;2;1;61;45;32;4;0;62;45;20;8;76729;1
7;3;0;46;22;18;16;4;47;22;16;8;76730;0
8;7;1;49;32;28;12;0;64;42;27;13;76732;2
9;2;0;120;88;59;16;17;131;69;52;25;76733;11
10;9;0;48;28;25;15;1;50;27;19;12;76734;4
11;1;3;63;42;26;13;0;47;28;15;8;76735;1
12;4;2;65;30;23;21;5;67;35;26;10;76736;4
13;1;4;80;44;30;20;4;69;42;28;10;76737;3
14;3;3;62;31;24;19;1;73;45;24;15;76738;0
15;6;3;68;48;38;11;2;89;51;36;13;76739;9
16;10;0;87;52;40;25;1;91;56;47;20;76740;13
17;6;3;71;37;25;19;2;64;36;20;12;76741;4
18;3;2;87;49;36;19;1;82;49;32;17;76742;5
19;3;2;73;35;26;23;0;80;58;34;9;76743;2
20;6;4;63;30;24;18;2;64;42;26;7;76744;2
21;2;3;58;44;28;7;4;56;24;17;12;76745;3
22;3;7;99;66;42;16;3;78;50;31;15;76746;3
23;2;0;55;37;24;14;3;64;36;21;14;76747;2
24;11;0;97;65;54;14;4;96;54;45;21;76748;9
25;0;1;36;17;11;13;2;54;29;14;6;76749;2
26;5;2;74;45;34;18;2;81;57;39;12;76750;2
27;5;2;61;41;31;14;5;61;34;28;12;76751;1
28;3;0;65;46;29;12;0;69;36;24;13;76752;1
29;7;4;80;37;26;27;2;71;40;29;18;76753;2
30;1;2;65;44;31;12;5;83;47;31;15;76754;12
31;3;2;94;56;37;21;1;106;72;42;22;76755;4
32;1;2;57;36;24;12;4;65;32;22;8;76756;5
33;1;4;121;80;49;13;0;109;79;36;14;76757;0
34;3;1;91;68;40;13;1;86;61;38;7;76758;4
35;3;2;60;36;25;11;1;66;40;17;13;76759;2
36;2;3;79;40;24;23;0;49;35;19;7;76760;0
37;2;1;77;56;29;11;7;107;71;41;14;76761;2
38;1;1;63;38;27;15;1;62;40;27;10;76762;2
39;2;1;36;18;14;12;1;42;29;14;2;76763;1
40;3;3;64;39;30;13;1;50;33;22;9;76764;2
41;7;8;127;79;56;19;1;95;63;42;16;76765;3
42;3;4;84;58;39;13;1;83;56;41;12;76766;4
43;2;1;48;29;26;12;3;56;42;27;6;76767;3
44;6;6;70;45;35;8;3;53;30;20;10;76768;3
45;3;2;80;43;28;22;5;91;53;36;19;76769;2
46;3;2;59;32;23;17;2;56;30;18;12;76770;2
47;2;1;49;37;25;6;1;55;47;23;2;76771;0
48;1;3;61;37;23;15;2;63;41;22;11;76772;3
49;7;0;54;32;23;13;4;64;42;22;11;76773;1
50;1;0;56;44;33;8;2;63;37;24;9;76774;1
51;2;0;50;24;19;17;4;72;49;28;8;76775;7
52;1;2;62;37;28;15;1;48;24;14;15;76776;2
53;2;1;73;46;30;10;4;56;31;16;8;76777;1
54;3;0;61;39;28;12;2;45;25;18;7;76778;1
55;1;0;76;59;34;11;1;70;39;17;18;76779;2
56;8;0;113;63;45;20;1;101;66;40;19;76780;0
57;7;2;80;23;19;30;5;59;31;20;12;76781;3
58;1;1;45;25;14;16;0;55;35;15;8;76782;2
59;11;2;114;70;54;22;1;119;92;55;16;76783;1
60;6;5;100;64;45;20;6;130;62;45;28;76784;16
61;1;0;53;37;30;7;0;46;30;17;7;76786;3
62;5;1;56;25;17;20;7;56;30;22;6;76787;4
63;2;4;80;55;35;16;3;68;43;24;14;76788;1
64;0;1;82;55;35;14;2;96;61;38;15;76789;3
65;4;4;65;46;34;12;3;49;25;21;12;76790;1
66;5;0;46;37;26;7;0;38;21;13;4;76791;0
67;0;0;78;62;41;10;4;62;33;22;16;76792;1
68;9;3;110;67;43;20;4;108;61;40;26;76793;3
69;5;1;47;26;23;12;0;42;32;15;6;76794;0
70;3;2;84;48;36;19;5;85;51;36;15;76795;10
71;5;2;93;55;40;18;0;88;53;35;20;76796;2
72;7;2;100;55;39;27;3;99;50;38;24;76797;7
73;2;4;57;36;28;9;3;45;23;11;9;76798;2
74;4;2;48;19;17;18;3;55;36;20;11;76799;0
75;1;1;38;20;18;14;5;54;29;14;13;76800;5
76;0;0;59;36;23;16;6;57;29;17;12;76801;0
77;8;4;130;88;64;15;4;87;47;35;28;76802;7
78;0;1;43;20;15;16;4;60;51;25;2;76803;0
79;2;2;108;82;48;14;7;109;64;39;21;76804;2
80;5;0;49;28;19;14;2;51;34;21;4;76805;0
81;4;2;112;71;50;16;5;127;54;35;37;76806;10
82;7;0;52;34;29;10;1;72;41;28;13;76807;7
83;7;2;96;55;34;22;5;108;59;41;21;76808;6
84;6;0;116;53;34;33;6;99;62;38;12;76809;2
85;3;5;71;42;28;16;0;57;41;26;6;76810;1
86;8;8;104;51;35;31;1;86;55;38;13;76813;5
87;6;3;89;46;36;18;0;87;48;32;22;76814;5
88;3;2;86;47;30;24;2;69;34;26;14;76815;5
89;5;3;78;41;32;23;3;91;55;38;18;76816;4
90;1;3;68;47;33;9;1;82;47;31;21;76817;5
91;5;3;48;35;28;5;2;64;48;23;7;76818;0
92;10;3;53;32;29;12;2;55;26;20;16;76819;1
93;3;2;36;21;18;10;5;70;38;22;10;76820;4
94;6;4;58;27;24;17;6;52;28;15;16;76821;6
95;2;4;55;31;20;16;0;74;57;29;8;76822;1
96;3;0;56;24;17;16;0;57;30;16;10;76823;0
97;1;1;80;45;34;22;6;88;51;34;15;76824;2
98;1;3;71;37;24;14;6;61;27;17;10;76825;1
99;5;1;86;60;41;14;4;83;42;27;21;76826;2
100;3;3;52;23;21;18;2;59;29;23;13;76827;0
101;10;0;59;36;29;15;3;70;34;21;19;76828;0
102;10;1;52;30;25;14;4;52;26;17;12;76829;1
103;0;8;111;66;43;18;1;69;49;32;13;76830;3
104;1;0;84;51;34;20;4;80;46;30;17;76831;5
105;0;2;97;65;42;13;4;83;47;33;13;76832;5
106;4;3;76;42;35;15;0;79;62;39;9;76833;1
107;4;1;45;25;22;12;3;51;26;19;8;76834;0
108;2;2;40;21;18;11;0;38;25;12;2;76835;1
109;1;3;79;39;30;23;1;108;68;43;24;76836;3
110;2;3;58;43;30;8;5;53;28;16;12;76837;1
111;12;4;97;55;48;19;3;103;52;39;30;76838;1
112;2;1;78;44;32;15;4;70;39;27;12;76839;5
113;0;2;69;53;41;9;1;66;40;26;14;76840;2
114;1;1;52;35;26;9;7;49;22;14;8;76841;2
115;7;1;50;30;25;11;3;57;27;14;13;76842;2
116;2;0;37;15;15;17;4;42;34;17;3;76843;1
117;0;3;69;41;26;16;5;64;32;14;17;76844;2
118;6;0;35;21;17;8;2;41;25;8;5;76845;2
119;6;3;74;46;39;13;2;72;48;32;17;76846;1
120;7;1;52;28;23;18;7;62;35;26;10;76847;5
121;2;3;94;71;53;9;2;104;72;43;11;76848;1
122;4;2;186;145;89;27;5;177;110;67;29;76849;1
123;2;3;82;54;36;18;1;87;59;31;12;76850;1
124;4;3;76;44;33;22;4;101;49;26;26;76851;2
125;1;2;133;100;73;16;3;126;77;57;28;76852;2
126;7;2;78;43;37;21;4;109;60;41;20;76853;7
127;2;1;80;52;38;13;4;87;54;26;15;76854;2
128;10;2;92;66;48;14;7;76;35;26;17;76855;4
129;2;5;125;91;54;19;4;147;97;53;18;76856;0
130;3;13;206;151;91;21;3;218;127;78;38;76857;14
131;2;1;91;67;50;12;2;73;51;33;12;76858;3
132;10;5;101;70;53;16;4;106;60;37;25;76859;4
133;12;4;139;98;69;23;5;145;98;69;23;76860;3
134;2;0;90;61;39;23;5;119;66;42;25;76861;3
135;17;0;93;56;46;23;8;114;75;49;20;76862;7
136;20;2;158;101;67;30;3;123;88;60;17;76863;15
137;2;1;66;56;41;5;1;74;35;20;11;76864;1
138;3;6;121;75;49;20;2;129;75;46;18;76865;3
139;2;2;61;44;35;9;7;70;46;22;6;76866;0
140;2;2;57;37;29;12;8;75;39;22;10;76867;3
141;4;1;117;62;51;30;1;97;49;35;29;76868;3
142;8;5;109;51;32;33;4;140;82;48;25;76869;2
143;2;0;77;59;42;8;4;82;58;30;8;76870;6
144;6;3;95;54;44;20;4;100;57;39;20;76871;2
145;5;5;120;73;51;22;0;123;80;46;26;76872;6
146;3;4;148;104;71;16;7;141;80;53;27;76873;6
147;4;4;84;43;34;26;0;76;49;28;15;76874;0
148;5;1;77;53;39;14;2;84;46;29;16;76875;1
149;6;4;87;58;46;20;4;100;59;41;17;76876;2
150;6;3;172;101;76;32;5;132;88;58;24;76877;2
151;0;2;41;28;21;6;1;43;26;16;10;76878;0
152;10;0;94;52;35;22;1;99;59;41;17;76879;4
153;3;3;138;77;55;30;3;124;94;61;15;76880;5
154;40;8;139;84;69;29;10;124;50;42;43;76881;7
155;2;1;66;47;40;14;2;67;40;30;10;76882;3
156;7;2;84;50;38;19;7;86;47;27;16;76883;1
157;8;2;135;91;59;25;9;162;91;59;30;76884;8
158;0;3;75;54;38;8;1;84;48;22;17;76885;0
159;4;1;59;39;29;15;4;71;55;23;3;76886;0
160;5;5;83;54;44;13;0;88;62;36;10;76887;7
161;8;7;165;109;80;30;6;184;127;86;25;76888;9
162;2;3;70;50;40;14;3;75;49;33;10;76889;1
163;6;6;137;86;61;23;2;139;82;58;25;76890;4
164;9;3;97;48;35;26;3;114;74;43;18;76891;1
165;3;5;134;96;59;22;10;110;63;42;20;76892;5
166;0;2;93;62;39;16;3;105;72;37;11;76893;3
167;11;8;173;107;82;34;2;156;115;81;19;76894;3
168;5;2;125;90;59;19;3;122;83;53;21;76895;19
169;2;2;80;53;39;16;1;70;43;21;13;76896;1
170;3;4;122;93;60;18;3;120;77;44;20;76897;2
171;7;2;101;59;43;23;0;102;53;33;25;76898;5
172;0;3;121;97;58;17;5;130;84;53;21;76899;6
173;6;8;154;114;78;16;3;146;121;72;12;76900;4
174;5;4;168;104;64;45;4;174;114;74;32;76901;7
175;8;1;93;55;42;21;7;114;67;43;22;76902;1
176;12;0;82;59;48;16;3;97;77;48;9;76903;4
177;4;4;185;113;74;40;10;169;104;71;33;76904;10
178;1;4;73;38;31;17;1;79;64;29;5;76905;0
179;12;2;109;62;44;24;10;134;76;50;23;76906;12
180;7;3;65;34;28;21;1;50;33;7;6;76907;0
181;10;2;118;60;47;38;2;143;93;63;30;76908;17
182;6;1;109;76;60;17;2;114;75;44;21;76909;1
183;5;6;122;70;41;25;5;132;85;47;20;76910;1
184;9;1;74;50;38;12;2;101;56;36;13;76911;1
185;3;1;69;48;33;12;0;71;49;21;10;76912;0
186;5;7;119;75;55;22;9;104;59;42;24;76913;3
187;3;0;73;48;34;12;1;98;72;33;9;76914;1
188;7;3;69;49;40;13;4;76;47;28;12;76915;4
189;7;3;81;58;39;10;2;72;54;25;6;76916;0
190;1;3;103;76;57;15;8;120;77;53;20;76917;7
191;10;4;153;114;82;15;1;147;98;68;26;76918;6
192;8;7;147;92;67;24;6;131;69;50;29;76919;11
193;0;0;83;62;48;16;5;109;64;42;18;76920;2
194;1;3;135;98;59;24;3;137;91;55;19;76921;4
195;6;3;77;39;34;22;4;94;39;28;23;76922;5
196;3;3;134;83;53;26;6;148;100;62;17;76923;1
197;8;3;105;59;36;28;4;78;43;25;14;76924;5
198;18;10;140;72;50;42;5;198;124;70;42;76925;2
199;3;2;67;41;34;17;4;70;47;27;9;76926;0
200;12;5;157;78;58;42;2;123;99;67;13;76927;1
201;3;1;90;57;46;21;4;99;64;44;16;76928;8
202;6;0;75;42;33;22;5;91;54;29;17;76929;2
203;3;6;117;55;40;30;5;115;86;50;11;76930;1
204;1;5;70;35;30;18;1;56;33;15;7;76931;2
205;10;8;204;121;83;36;4;153;89;60;36;76932;4
206;14;5;128;78;60;29;6;119;64;44;33;76933;3
207;9;5;117;66;43;30;4;110;69;45;15;76934;5
208;19;9;161;102;78;19;4;134;90;58;28;76935;1
209;4;1;100;50;38;27;1;109;77;47;13;76936;0
210;2;5;128;80;50;25;0;121;95;53;13;76937;1
211;6;3;114;86;69;18;0;93;49;37;32;76938;6
212;6;2;104;59;50;35;3;146;83;62;32;76939;8
213;2;3;90;66;54;12;1;121;81;51;20;76940;0
214;13;7;148;95;63;27;5;162;93;62;27;76941;6
215;5;5;128;67;55;27;5;145;92;58;28;76942;5
216;3;2;70;51;38;14;1;85;43;26;18;76943;2
217;2;7;113;77;53;15;2;114;83;47;14;76944;1
218;6;0;64;46;37;12;2;65;31;19;12;76945;2
219;2;1;128;98;58;19;4;113;79;45;18;76946;3
220;6;2;105;68;49;21;5;86;53;37;16;76947;2
221;8;5;137;79;56;28;3;105;80;47;12;76948;0
222;9;1;84;55;37;16;3;90;52;28;13;76949;3
223;12;1;134;78;61;28;5;145;89;56;27;76950;2
224;5;2;83;54;44;17;2;70;46;34;10;76951;5
225;2;1;119;86;61;18;4;124;78;50;24;76952;8
226;7;1;110;57;43;28;5;112;67;43;16;76953;1
227;20;4;133;83;62;30;5;157;113;70;24;76954;2
228;5;6;188;128;81;34;8;167;92;61;39;76955;4
229;2;3;85;49;35;25;1;97;58;35;16;76956;4
230;7;2;154;75;56;52;9;139;80;67;26;76957;8
231;9;1;81;48;38;18;2;70;41;24;13;76958;2
232;7;0;206;140;101;31;6;216;105;77;61;76959;21
233;9;7;169;119;87;22;3;151;101;63;26;76960;8
234;3;1;134;94;67;17;2;133;84;52;25;76961;5
235;11;6;70;34;30;19;2;89;53;28;12;76962;3
236;1;0;124;98;73;15;7;174;91;58;43;76963;5
237;4;4;68;31;24;21;3;85;61;33;8;76964;3
238;4;6;184;119;84;29;3;144;105;69;19;76965;17
239;5;1;96;52;40;25;4;129;90;55;18;76966;3
240;4;2;107;66;49;25;5;111;66;41;26;76967;3
241;2;4;71;46;34;16;2;73;46;27;11;76968;1
242;9;2;95;58;52;19;1;105;71;40;20;76969;6
243;9;6;150;92;65;25;8;170;106;63;32;76970;6
244;14;3;81;50;43;24;1;80;39;28;25;76971;6
245;12;4;165;95;70;34;10;161;97;68;35;76972;6
246;23;5;126;83;63;22;2;135;76;45;33;76973;5
247;9;4;121;86;60;16;3;115;72;49;25;76974;9
248;3;0;38;24;20;9;1;59;34;21;9;77054;5
249;1;3;63;47;35;7;0;64;47;28;6;77055;0
250;8;4;88;56;39;13;4;87;50;40;12;77056;15
251;12;3;49;32;23;9;0;62;45;19;8;77057;1
252;4;1;64;40;27;16;2;51;24;17;11;77058;0
253;3;0;95;63;40;20;3;81;46;29;17;77059;2
254;4;1;40;29;23;6;4;67;34;24;8;77060;1
255;2;1;49;27;22;15;0;56;38;24;9;77061;2
256;5;0;24;15;14;6;2;32;19;12;2;77062;0
257;8;1;103;59;39;21;1;112;69;44;17;77063;2
258;4;3;60;43;34;10;0;57;37;24;9;77064;2
259;5;6;100;52;34;18;6;101;53;35;19;77065;2
260;7;2;49;33;22;11;2;60;39;19;9;77066;3
261;10;0;107;68;46;24;6;127;73;45;29;77067;3
262;6;2;76;47;36;12;1;68;49;29;11;77068;0
263;3;2;58;38;31;8;2;70;41;26;11;77069;2
264;2;3;81;44;35;19;7;84;54;38;14;77070;4
265;7;2;43;28;26;10;6;56;34;24;8;77071;5
266;4;2;97;65;51;19;1;90;48;36;24;77072;1
267;3;0;35;26;21;7;3;64;34;19;10;77073;2
268;13;2;92;60;43;14;4;89;48;28;20;77074;4
269;0;2;46;25;18;10;1;52;29;16;5;77075;2
270;10;1;66;42;29;16;4;81;48;33;10;77076;5
271;1;0;62;45;31;11;2;67;42;25;14;77077;2
272;2;1;61;32;25;14;1;48;20;10;13;77078;4
273;3;1;64;41;32;13;1;72;45;28;15;77079;3
274;2;1;96;57;37;17;2;85;42;31;19;77080;8
275;3;1;25;17;14;6;0;32;24;13;4;77081;1
276;2;1;96;60;47;22;2;110;68;51;21;77082;8
277;3;1;57;39;31;7;5;58;43;22;7;77083;3
278;2;0;65;36;26;15;1;61;44;25;6;77084;2
279;14;2;86;41;37;30;1;128;68;49;33;77085;8
280;3;0;64;38;27;14;8;77;46;28;9;77086;3
281;12;5;68;42;33;15;5;76;38;30;16;77087;3
282;2;1;55;35;29;13;5;47;31;26;6;77088;7
283;2;0;56;31;23;13;4;68;36;20;11;77089;2
284;4;1;49;29;28;10;0;54;32;24;9;77090;3
285;4;4;73;51;41;4;1;79;41;26;17;77091;0
286;3;0;39;21;17;11;4;44;18;9;6;77092;2
287;5;2;70;33;28;22;3;67;42;26;15;77093;3
288;3;2;45;20;16;15;0;43;29;11;6;77094;0
289;3;3;66;35;27;12;1;57;33;21;8;77095;9
290;0;0;42;25;22;12;0;54;35;20;9;77096;0
291;9;3;98;61;49;22;0;94;58;45;23;77097;4
292;0;1;62;40;27;14;4;56;37;20;10;77098;3
293;10;4;97;62;48;18;7;113;66;40;29;77099;0
294;3;2;82;50;41;16;3;89;49;36;19;77100;10
295;1;3;90;56;37;18;4;110;58;41;24;77101;9
296;3;2;59;36;28;16;6;63;35;27;8;77102;6
297;3;2;109;72;55;20;4;98;60;47;20;77103;13
298;2;0;11;9;8;2;0;9;3;1;0;77104;1
299;3;1;100;49;30;23;1;82;27;22;24;77105;5
300;3;1;50;19;17;18;1;78;51;29;12;77106;4
301;3;1;97;61;43;23;1;112;68;43;29;77107;3
302;4;3;76;53;37;12;1;50;33;20;12;77108;0
303;3;0;50;26;17;17;0;55;29;15;14;77109;2
304;2;1;66;42;29;14;2;65;40;26;14;77110;1
305;12;2;51;29;25;15;4;61;27;19;16;77111;7
306;0;0;54;34;27;14;1;68;51;34;9;77112;6
307;2;5;132;87;60;20;1;123;68;42;28;77113;0
308;1;0;67;32;22;22;2;53;32;24;9;77114;6
309;1;1;56;31;25;13;3;60;41;23;6;77115;0
310;2;5;81;35;28;25;6;70;34;26;16;77116;2
311;5;2;52;33;24;12;1;49;24;14;11;77117;0
312;5;6;65;32;30;16;4;60;32;21;14;77118;3
313;0;1;72;53;39;12;7;86;51;38;15;77119;10
314;8;4;66;31;28;21;3;79;42;33;16;77120;7
315;7;3;78;50;42;15;6;69;43;37;8;77121;6
316;1;3;85;42;30;22;11;109;56;32;29;77122;3
317;5;6;71;37;27;16;2;87;59;36;11;77123;1
318;5;3;39;23;19;10;4;48;24;13;9;77124;1
319;7;0;41;21;18;10;3;58;30;13;11;77125;1
320;2;4;80;46;32;18;1;67;35;20;16;77126;3
321;4;4;42;22;20;11;3;55;30;19;6;77127;5
322;4;3;51;36;26;5;2;65;31;17;13;77128;2
323;0;4;90;60;36;15;8;106;62;37;18;77129;3
324;9;4;59;27;25;20;9;74;38;29;16;77130;1
325;12;8;90;40;32;21;2;80;46;30;16;77131;2
326;7;2;71;46;36;14;1;74;44;31;16;77132;4
327;12;0;95;55;46;22;3;92;59;41;21;77133;4
328;11;2;51;28;21;13;2;58;32;20;12;77134;5
329;3;9;119;66;43;28;12;138;69;49;34;77135;5
330;5;3;78;46;37;16;6;120;70;49;22;77136;9
331;5;12;78;44;35;14;7;89;44;29;21;77137;4
332;3;0;71;47;29;16;3;65;41;25;9;77138;0
333;10;4;98;63;41;15;5;69;38;24;15;77139;5
334;4;1;44;31;19;7;3;76;33;20;14;77140;6
335;9;3;94;49;37;24;5;88;51;34;17;77141;4
336;5;3;106;64;47;24;3;102;57;42;23;77142;3
337;2;5;85;48;38;16;5;100;52;34;20;77143;4
338;12;3;47;28;25;9;2;45;29;15;6;77144;0
339;6;3;93;53;39;21;6;106;69;49;16;77145;4
340;3;3;78;46;35;19;3;89;47;40;16;77146;3
341;10;0;75;43;32;21;1;89;63;41;14;77151;8
342;4;0;65;43;33;14;1;69;35;24;19;77152;5
343;5;7;95;51;32;22;3;103;60;40;16;77153;4
344;0;2;59;27;17;14;3;73;40;23;10;77154;0
345;13;0;63;49;39;8;2;82;49;34;13;77155;0
346;4;0;44;28;25;8;2;52;25;17;9;77156;1
347;5;2;93;56;44;21;11;104;43;36;26;77157;9
348;7;7;110;68;45;15;0;107;84;45;12;77158;2
349;6;5;43;19;18;12;5;49;28;15;7;77159;2
350;3;1;58;34;27;13;2;69;47;29;8;77160;1
351;2;3;98;61;44;20;7;105;59;44;21;77161;7
352;17;2;68;44;40;14;5;78;38;28;23;77162;8
353;4;1;51;35;29;9;0;56;38;23;9;77163;12
354;5;0;64;40;33;13;3;77;31;28;20;77164;7
355;9;4;98;64;44;17;1;98;59;39;21;77165;2
356;2;1;46;24;18;10;3;46;21;12;6;77166;1
357;6;4;85;53;42;15;1;92;65;43;14;77167;5
358;0;0;41;18;16;14;5;71;42;27;8;77168;2
359;3;1;56;41;31;8;0;61;40;27;5;77169;7
360;5;2;67;45;33;12;2;82;47;29;17;77170;2
361;15;2;47;26;25;12;1;65;37;26;15;77171;3
362;9;3;49;31;27;8;1;43;28;13;7;77172;0
363;7;1;51;30;27;14;0;50;25;19;11;77173;2
364;3;5;73;50;35;12;2;95;64;37;13;77174;7
365;11;0;45;33;28;6;3;66;31;18;15;77175;5
366;1;2;67;31;21;23;1;59;36;19;12;77176;1
367;13;2;51;30;29;11;6;56;27;24;11;77177;11
368;2;0;35;19;16;12;2;63;28;19;11;77178;4
369;6;5;57;31;24;12;3;76;45;34;12;77179;3
370;12;1;81;42;32;18;2;73;48;32;9;77180;1
371;10;1;124;61;52;32;3;147;84;56;33;77181;4
372;7;0;72;37;26;22;8;92;49;32;20;77182;3
373;0;2;94;51;33;19;3;113;82;44;16;77183;1
374;1;2;43;29;23;9;2;54;39;22;6;77184;0
375;3;2;62;35;26;19;1;85;54;34;16;77185;2
376;1;0;32;26;23;5;0;33;18;10;2;77186;0
377;2;1;70;48;38;15;4;83;51;36;12;77187;4
378;7;3;54;33;22;11;5;64;44;25;5;77188;0
379;12;4;99;51;43;27;8;97;53;42;23;77189;3
380;5;8;68;42;33;12;4;76;39;28;14;77190;3
381;3;6;87;49;31;25;7;89;47;31;22;77191;5
382;5;2;58;40;30;10;4;39;19;11;7;77192;0
383;4;1;49;23;18;18;2;47;28;17;7;77193;4
384;5;0;55;33;27;13;2;66;38;27;13;77194;1
385;0;1;77;54;31;14;3;59;24;14;14;77195;1
386;10;3;85;55;40;16;3;95;53;34;17;77196;3
387;12;5;92;61;49;20;8;110;60;48;24;77197;4
388;6;0;53;30;23;16;5;65;26;18;15;77198;6
389;8;3;96;58;49;17;2;95;57;39;20;77199;0
390;2;0;58;35;29;14;5;72;38;27;13;77200;4
391;9;4;53;27;23;15;5;46;30;24;5;77201;1
392;5;0;54;27;22;14;1;52;27;16;11;77202;2
393;3;2;51;31;19;15;2;50;29;15;7;77203;1
394;4;1;65;41;32;8;6;56;27;16;11;77204;3
395;12;2;51;30;25;10;5;66;34;22;10;77205;3
396;15;5;59;38;31;10;4;57;33;23;9;77206;0
397;3;4;60;38;31;9;6;47;22;14;7;77207;0
398;7;6;115;72;52;19;10;116;76;51;19;77208;1
399;7;2;40;22;19;14;3;48;25;16;7;77209;4
400;0;1;50;31;21;14;10;69;41;26;11;77210;4
401;2;3;62;35;26;15;1;56;45;22;7;77211;0
402;3;0;37;28;24;4;1;46;25;15;4;77212;0
403;3;1;49;33;26;14;5;61;32;24;13;77213;8
404;2;4;59;36;31;15;4;79;42;29;17;77214;8
405;9;2;61;33;27;15;6;60;34;24;12;77215;1
406;5;1;60;27;19;21;2;57;27;18;10;77216;2
407;10;1;114;72;55;22;4;116;65;46;30;77217;6
408;3;6;101;55;39;20;4;84;44;26;19;77218;3
409;4;2;77;51;37;13;2;63;45;36;7;77219;7
410;2;6;91;50;31;19;2;90;52;32;12;77220;3
411;9;3;73;46;36;15;3;65;31;22;18;77221;9
412;2;0;65;31;21;24;3;67;39;24;17;77222;6
413;5;3;72;43;38;14;4;73;41;28;16;77223;5
414;4;6;82;44;35;14;5;67;40;27;9;77224;3
415;4;0;53;31;26;11;2;49;24;17;10;77225;5
416;6;5;98;54;38;23;5;107;48;38;26;77226;9
417;10;3;57;32;26;13;3;59;29;22;12;77227;1
418;23;8;140;71;60;39;1;144;79;64;32;77228;14
419;3;4;123;74;50;25;3;133;84;49;26;77229;0
420;2;4;124;83;60;17;2;106;81;53;15;77230;2
421;2;0;50;26;19;17;1;47;34;19;5;77231;0
422;7;5;118;68;50;22;5;120;85;53;21;77232;2
423;7;4;62;43;31;8;3;74;37;20;17;77233;0
424;7;5;91;44;33;23;1;97;65;43;19;77234;3
425;4;4;100;53;40;24;0;82;58;43;15;77235;5
426;9;1;54;29;24;15;2;74;48;28;13;77236;1
427;2;0;64;43;31;13;5;98;66;42;14;77237;8
428;4;2;63;36;32;16;4;72;44;30;14;77238;6
429;8;1;97;52;39;30;3;97;66;41;22;77239;1
430;1;4;100;60;41;17;6;86;49;28;21;77240;3
431;4;4;118;61;42;30;1;96;72;49;13;77241;4
432;4;1;111;65;48;22;2;123;64;43;30;77242;3
433;6;2;76;57;40;9;6;97;51;34;19;77243;4
434;3;2;76;45;27;18;5;75;42;26;13;77244;1
435;6;4;88;37;27;31;0;81;44;33;18;77245;2
436;1;0;38;28;25;7;0;47;30;17;8;77246;2
437;7;4;88;44;29;18;4;99;61;36;14;77247;4
438;3;0;48;31;27;12;4;59;29;23;11;77248;2
439;4;6;48;26;24;10;2;63;34;20;13;77249;2
440;7;7;83;48;39;19;4;98;51;39;20;77250;11
441;9;1;83;57;50;10;2;80;35;27;30;77251;7
442;7;4;55;34;30;10;4;55;18;14;18;77252;4
443;1;1;91;56;35;19;3;79;50;35;11;77253;9
444;2;1;43;25;19;13;2;44;25;15;7;77254;0
445;6;6;92;61;49;17;16;132;62;47;31;77255;6
446;2;4;84;55;34;10;9;84;46;31;14;77256;3
447;7;3;40;26;23;9;5;68;36;22;14;77257;3
448;6;0;57;37;27;13;3;67;38;26;13;77258;5
449;6;1;64;31;27;17;3;53;29;21;11;77259;1
450;8;3;62;33;27;19;4;74;48;32;15;77260;4
451;5;2;36;23;20;9;4;59;35;19;8;77261;0
452;9;1;58;36;29;10;3;66;38;23;15;77262;0
453;2;2;101;71;46;15;5;97;53;42;15;77263;7
454;4;4;54;32;25;10;1;50;30;18;8;77264;3
455;0;2;120;94;60;16;4;127;69;44;27;77265;5
456;0;1;68;50;34;12;5;69;42;32;9;77266;13
457;3;2;49;24;18;20;3;64;38;23;13;77267;1
458;5;3;35;21;12;1;5;49;32;19;6;77268;2
459;8;2;75;35;31;23;3;61;33;26;15;77269;2
460;7;6;81;46;41;16;3;94;54;32;17;77270;2
461;2;2;67;48;31;11;2;66;43;25;10;77271;3
462;4;1;45;27;23;14;1;49;20;12;17;77272;2
463;5;3;52;29;24;13;3;46;20;13;13;77273;0
464;6;0;48;26;21;14;0;0;0;0;0;77274;0
465;5;2;63;33;33;16;4;67;32;28;14;77275;4
466;3;2;85;52;33;22;2;103;57;40;20;77276;8
467;5;5;82;65;50;4;1;73;60;40;8;77277;2
468;6;3;66;40;34;16;5;61;30;23;17;77278;1
469;7;3;91;48;34;25;5;97;50;30;17;77279;4
470;5;2;40;21;17;13;3;45;30;15;4;77280;3
471;0;1;63;54;40;4;1;54;44;30;4;77281;0
472;14;5;99;59;47;20;4;99;51;38;28;77282;8
473;6;0;44;28;23;13;2;46;30;19;9;77283;1
474;10;4;66;39;35;12;4;89;40;29;25;77284;3
475;3;3;101;59;44;21;8;106;49;35;28;77285;7
476;2;1;39;28;22;8;3;50;31;16;4;77286;0
477;2;2;54;29;21;17;4;66;40;24;11;77287;0
478;7;2;67;39;31;15;1;64;40;28;13;77288;1
479;2;0;49;33;25;12;0;49;29;17;7;77289;5
